Condiciones físicas del trabajo,Libertad para elegir tu propio método de trabajo,Tus compañeros de trabajo,Reconocimiento que obtienes por el trabajo bien hecho,Tu superior inmediato,Responsabilidad que se te ha asignado,Tu salario,La posibilidad de utilizar tus capacidades,Relaciones entre dirección y trabajadores en tu empresa,Tus posibilidades de promocionar,El modo en que tu empresa está gestionada,La atención que se presta a las sugerencias que haces,Tu horario de trabajo,La variedad de tareas que realizas en tu trabajo,Tu estabilidad en el empleo
Muy satisfecho,Moderadamente insatisfecho,Satisfecho,Muy satisfecho,Moderadamente satisfecho,Muy insatisfecho,Satisfecho,Moderadamente satisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Insatisfecho,Moderadamente satisfecho,Insatisfecho,Muy satisfecho,Moderadamente satisfecho
Muy satisfecho,Muy insatisfecho,Ni satisfecho ni insatisfecho,Satisfecho,Ni satisfecho ni insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Insatisfecho,Insatisfecho,Insatisfecho,Muy insatisfecho,Muy satisfecho,Moderadamente satisfecho,Insatisfecho,Moderadamente insatisfecho
Insatisfecho,Moderadamente satisfecho,Muy insatisfecho,Insatisfecho,Moderadamente insatisfecho,Muy satisfecho,Moderadamente insatisfecho,Moderadamente satisfecho,Insatisfecho,Moderadamente insatisfecho,Muy insatisfecho,Muy satisfecho,Moderadamente insatisfecho,Insatisfecho,Ni satisfecho ni insatisfecho
Ni satisfecho ni insatisfecho,Insatisfecho,Ni satisfecho ni insatisfecho,Insatisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente insatisfecho,Muy insatisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Insatisfecho,Satisfecho,Satisfecho,Moderadamente insatisfecho
Muy satisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Insatisfecho,Moderadamente satisfecho,Muy satisfecho,Muy insatisfecho,Muy satisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Satisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Insatisfecho
Muy insatisfecho,Satisfecho,Moderadamente satisfecho,Muy insatisfecho,Moderadamente satisfecho,Ni satisfecho ni insatisfecho,Satisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Satisfecho,Satisfecho,Moderadamente satisfecho,Satisfecho,Ni satisfecho ni insatisfecho,Moderadamente insatisfecho
Ni satisfecho ni insatisfecho,Moderadamente insatisfecho,Moderadamente insatisfecho,Muy satisfecho,Satisfecho,Moderadamente insatisfecho,Satisfecho,Insatisfecho,Moderadamente satisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Insatisfecho,Satisfecho,Insatisfecho,Insatisfecho
Muy insatisfecho,Ni satisfecho ni insatisfecho,Satisfecho,Satisfecho,Muy insatisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Ni satisfecho ni insatisfecho,Insatisfecho,Insatisfecho,Satisfecho,Muy insatisfecho,Muy satisfecho,Moderadamente satisfecho,Muy satisfecho
Moderadamente satisfecho,Moderadamente satisfecho,Moderadamente insatisfecho,Insatisfecho,Muy insatisfecho,Moderadamente insatisfecho,Insatisfecho,Muy insatisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Satisfecho,Muy insatisfecho
Moderadamente satisfecho,Satisfecho,Muy insatisfecho,Moderadamente insatisfecho,Muy insatisfecho,Muy satisfecho,Satisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Moderadamente insatisfecho,Insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente insatisfecho,Moderadamente insatisfecho,Insatisfecho
Insatisfecho,Satisfecho,Satisfecho,Muy satisfecho,Moderadamente satisfecho,Muy satisfecho,Moderadamente satisfecho,Muy satisfecho,Moderadamente satisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Muy insatisfecho,Insatisfecho,Moderadamente insatisfecho,Insatisfecho
Satisfecho,Muy insatisfecho,Satisfecho,Moderadamente satisfecho,Muy satisfecho,Insatisfecho,Muy satisfecho,Muy insatisfecho,Muy satisfecho,Satisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Muy insatisfecho
Insatisfecho,Moderadamente satisfecho,Moderadamente satisfecho,Muy insatisfecho,Moderadamente satisfecho,Insatisfecho,Ni satisfecho ni insatisfecho,Muy insatisfecho,Muy insatisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Muy insatisfecho,Moderadamente insatisfecho,Moderadamente insatisfecho
Muy insatisfecho,Moderadamente insatisfecho,Moderadamente satisfecho,Moderadamente insatisfecho,Muy satisfecho,Satisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Moderadamente satisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Muy insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente insatisfecho
Moderadamente insatisfecho,Moderadamente insatisfecho,Muy satisfecho,Insatisfecho,Muy satisfecho,Insatisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente insatisfecho,Muy satisfecho,Satisfecho,Muy insatisfecho,Insatisfecho,Muy insatisfecho,Insatisfecho
Muy insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Muy insatisfecho,Moderadamente satisfecho,Moderadamente satisfecho,Insatisfecho,Muy insatisfecho,Moderadamente satisfecho,Moderadamente satisfecho,Muy insatisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente insatisfecho,Muy insatisfecho
Moderadamente satisfecho,Ni satisfecho ni insatisfecho,Muy insatisfecho,Muy satisfecho,Moderadamente satisfecho,Satisfecho,Moderadamente insatisfecho,Satisfecho,Muy insatisfecho,Muy satisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Muy satisfecho,Insatisfecho
Ni satisfecho ni insatisfecho,Muy insatisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Insatisfecho,Moderadamente satisfecho,Moderadamente satisfecho,Insatisfecho,Satisfecho,Moderadamente insatisfecho,Muy insatisfecho,Muy insatisfecho,Satisfecho,Muy insatisfecho
Moderadamente satisfecho,Muy insatisfecho,Satisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Muy insatisfecho,Insatisfecho,Muy insatisfecho,Satisfecho,Moderadamente satisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho
Moderadamente insatisfecho,Muy satisfecho,Muy insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Insatisfecho,Muy insatisfecho,Muy satisfecho,Moderadamente satisfecho,Muy insatisfecho,Ni satisfecho ni insatisfecho,Muy insatisfecho,Moderadamente satisfecho,Insatisfecho
Muy satisfecho,Moderadamente satisfecho,Muy insatisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Satisfecho,Insatisfecho,Muy satisfecho,Muy insatisfecho,Insatisfecho,Insatisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Insatisfecho,Satisfecho
Moderadamente satisfecho,Ni satisfecho ni insatisfecho,Insatisfecho,Satisfecho,Insatisfecho,Ni satisfecho ni insatisfecho,Muy insatisfecho,Muy satisfecho,Insatisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Insatisfecho,Muy satisfecho,Moderadamente satisfecho
Moderadamente insatisfecho,Moderadamente satisfecho,Muy insatisfecho,Satisfecho,Satisfecho,Muy insatisfecho,Moderadamente satisfecho,Muy insatisfecho,Satisfecho,Muy insatisfecho,Moderadamente satisfecho,Moderadamente satisfecho,Moderadamente satisfecho,Insatisfecho,Insatisfecho
Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Muy insatisfecho,Insatisfecho,Insatisfecho,Moderadamente satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Insatisfecho,Ni satisfecho ni insatisfecho,Muy insatisfecho
Satisfecho,Moderadamente satisfecho,Muy insatisfecho,Muy insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Insatisfecho,Ni satisfecho ni insatisfecho,Muy insatisfecho,Moderadamente insatisfecho,Muy insatisfecho,Insatisfecho,Moderadamente insatisfecho,Muy insatisfecho,Satisfecho
Satisfecho,Muy insatisfecho,Satisfecho,Ni satisfecho ni insatisfecho,Insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente insatisfecho,Muy satisfecho,Insatisfecho,Moderadamente satisfecho,Satisfecho,Moderadamente satisfecho,Muy satisfecho,Satisfecho,Insatisfecho
Insatisfecho,Muy satisfecho,Moderadamente insatisfecho,Satisfecho,Satisfecho,Muy insatisfecho,Muy satisfecho,Insatisfecho,Muy insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente insatisfecho,Muy insatisfecho,Insatisfecho,Muy satisfecho,Muy satisfecho
Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Insatisfecho,Moderadamente satisfecho,Moderadamente satisfecho,Muy insatisfecho,Muy satisfecho,Moderadamente satisfecho,Muy insatisfecho,Muy satisfecho,Moderadamente satisfecho,Moderadamente insatisfecho,Moderadamente insatisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho
Insatisfecho,Satisfecho,Moderadamente satisfecho,Insatisfecho,Moderadamente satisfecho,Moderadamente satisfecho,Muy satisfecho,Insatisfecho,Insatisfecho,Moderadamente satisfecho,Insatisfecho,Muy satisfecho,Muy insatisfecho,Muy satisfecho,Insatisfecho
Insatisfecho,Moderadamente insatisfecho,Insatisfecho,Satisfecho,Moderadamente insatisfecho,Moderadamente satisfecho,Insatisfecho,Muy insatisfecho,Ni satisfecho ni insatisfecho,Insatisfecho,Muy satisfecho,Muy insatisfecho,Satisfecho,Insatisfecho,Muy insatisfecho
Insatisfecho,Moderadamente satisfecho,Moderadamente satisfecho,Insatisfecho,Muy satisfecho,Muy insatisfecho,Muy insatisfecho,Moderadamente satisfecho,Muy satisfecho,Moderadamente insatisfecho,Muy satisfecho,Moderadamente satisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho,Muy insatisfecho
Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Muy insatisfecho,Satisfecho,Muy insatisfecho,Satisfecho,Muy insatisfecho,Ni satisfecho ni insatisfecho,Muy insatisfecho,Satisfecho,Insatisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho,Muy satisfecho
Moderadamente satisfecho,Moderadamente satisfecho,Moderadamente insatisfecho,Muy satisfecho,Moderadamente insatisfecho,Moderadamente insatisfecho,Muy satisfecho,Muy satisfecho,Muy insatisfecho,Muy insatisfecho,Moderadamente insatisfecho,Muy insatisfecho,Satisfecho,Muy insatisfecho,Satisfecho
Insatisfecho,Insatisfecho,Muy satisfecho,Ni satisfecho ni insatisfecho,Ni satisfecho ni insatisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Moderadamente insatisfecho,Moderadamente satisfecho,Muy insatisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Ni satisfecho ni insatisfecho,Satisfecho,Moderadamente insatisfecho
Muy insatisfecho,Moderadamente satisfecho,Ni satisfecho ni insatisfecho,Satisfecho,Moderadamente satisfecho,Satisfecho,Moderadamente satisfecho,Muy insatisfecho,Insatisfecho,Muy satisfecho,Muy satisfecho,Insatisfecho,Muy satisfecho,Moderadamente satisfecho,Ni satisfecho ni insatisfecho
Satisfecho,Moderadamente insatisfecho,Moderadamente insatisfecho,Muy insatisfecho,Satisfecho,Ni satisfecho ni insatisfecho,Moderadamente satisfecho,Insatisfecho,Moderadamente satisfecho,Moderadamente satisfecho,Ni satisfecho ni insatisfecho,Insatisfecho,Muy satisfecho,Insatisfecho,Muy satisfecho
Moderadamente satisfecho,Muy insatisfecho,Muy insatisfecho,Moderadamente satisfecho,Moderadamente satisfecho,Muy satisfecho,Muy insatisfecho,Satisfecho,Moderadamente satisfecho,Moderadamente satisfecho,Muy satisfecho,Moderadamente satisfecho,Muy insatisfecho,Muy satisfecho,Muy satisfecho
Muy insatisfecho,Moderadamente satisfecho,Muy insatisfecho,Muy insatisfecho,Moderadamente insatisfecho,Satisfecho,Moderadamente insatisfecho,Moderadamente satisfecho,Muy satisfecho,Satisfecho,Moderadamente insatisfecho,Moderadamente insatisfecho,Ni satisfecho ni insatisfecho,Satisfecho,Moderadamente insatisfecho
